"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"demonstration",5179,6.410
,,"limit",5863,6.400
,,"consolidation",4803,6.380
,,"delegation",4792,6.380
,,"lot",37047,6.340
,,"term",13404,6.310
,,"sense",10922,6.240
,,"instrument",4492,6.230
,,"structure",6098,6.210
,,"hall",4224,6.160
,,"division",5168,6.150
,,"kind",21448,6.140
,,"centre",5231,6.130
,,"system",6329,6.120
,,"advantage",6763,6.100
,,"extent",4707,6.090
,,"relation",3944,6.050
,,"kW",3522,5.980
,,"manifestation",3875,5.970
,,"supply",4505,5.960
,,"level",13888,5.950
,,"example",8277,5.950
,,"question",4863,5.940
,,"grant",3677,5.940
,,"form",12470,5.920
,,"centralization",3403,5.920
,,"scope",4554,5.890
,,"pursuit",3885,5.850
,,"combination",5967,5.840
,,"control",5823,5.830
,,"aware",5443,5.820
,,"cost",6792,5.780
,,"deal",3938,5.710
,,"nature",6109,5.690
,,"place",4834,5.690
,,"assumption",2993,5.670
,,"strip",2893,5.630
,,"shift",2845,5.620
,,"degree",4468,5.590
,,"man",3789,5.580
,,"issue",5405,5.550
,,"feeling",3647,5.550
,,"usurpation",2575,5.530
,,"measure",3434,5.520
,,"virtue",2894,5.510
,,"rise",3212,5.500
,,"application",3953,5.480
,,"sort",7000,5.420
,,"kilowatt",2339,5.390
,,"expression",3288,5.380
,,"agent",2566,5.380
,,"word",3534,5.370
,,"idea",4214,5.370
,,"assertion",2329,5.350
,,"bit",5938,5.330
,,"unit",2830,5.310
,,"extension",2752,5.310
,,"transmission",2404,5.290
,,"surge",2290,5.290
,,"concept",3501,5.260
,,"generation",3249,5.230
,,"share",3234,5.230
,,"possession",2610,5.220
,,"growth",3004,5.210
,,"show",2274,5.210
,,"development",5646,5.210
,,"understanding",4269,5.200
,,"hand",2988,5.190
power,"X in ...",,473160,2.380
,,"hand",17479,8.120
,,"coup",3442,7.830
,,"government",3953,7.250
,,"society",5026,6.960
,,"Germany",3933,6.750
,,"East",3163,6.750
,,"region",9034,6.670
,,"election",3129,6.580
,,"Asia",2884,6.570
,,"Washington",3134,6.500
,,"world",13401,6.380
,,"Europe",5067,6.340
,,"Russia",2092,6.330
,,"universe",1899,6.320
,,"heaven",1779,6.220
,,"relationship",2110,6.170
,,"relation",3196,6.160
,,"Congress",1563,6.140
,,"Egypt",1557,6.120
,,"Iran",1475,6.110
,,"Afghanistan",1840,6.090
,,"state",6216,6.020
,,"politics",1587,5.970
,,"country",8588,5.960
,,"Senate",1253,5.960
,,"Iraq",2061,5.920
,,"land",1358,5.730
,,"century",2341,5.640
,,"name",1716,5.640
,,"Syria",1157,5.600
,,"House",1340,5.590
,,"system",2867,5.560
,,"America",3073,5.490
,,"market",3192,5.460
,,"check",779,5.460
,,"number",2263,5.440
,,"matter",1278,5.400
,,"Kabul",671,5.400
